"sku","description","price","allow_multiple","stripe_id_live","stripe_id_test"
"membership","Membership",50.00,false,"price_1LjE1dK2rE6HoVznsnc6Qsyj","price_1LjESCK2rE6HoVznq9ZED3kf"
"trial_membership","Trial Membership",315.00,false,"price_1LjE2UK2rE6HoVzn2feooFs9","price_1LjZPAK2rE6HoVzn3tl0ULkd"
"individual_dues","Individual Dues",315.00,false,"price_1LjE3CK2rE6HoVznNRT9SMG5","price_1LjZPTK2rE6HoVzn2l6GyRlU"
"couples_dues","Couples Dues",415.00,false,"price_1LjE3RK2rE6HoVznU67H7Vqu","price_1LjZPlK2rE6HoVznaj4j4I8e"
"family_dues","Family Dues",515.00,false,"price_1LjE3pK2rE6HoVznm6wz48XU","price_1LjZQ3K2rE6HoVznTJp6STpH"
"late_fee_1","Late Fee (After May 10th)",50.00,false,"price_1LjE4JK2rE6HoVznir5Cwg58","price_1LjZQRK2rE6HoVznF5xg85UD"
"late_fee_2","Late Fee (After June 1st)",150.00,false,"price_1LjE4ZK2rE6HoVznQAZFio9j","price_1LjEShK2rE6HoVznK0HnZojC"
"swim_dive_membership","Swim & Dive Team Membership",150.00,false,"",""
"dive_membership","Dive Team Membership",50.00,false,"",""
